year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1991,150027833333.333,2735.71080727379,2590,148619.843,20.5225322717786,26.5672103269692,31.5606400247353,16.8431630207931,3.72195811873446,54840531,25.249,8.046,,1.68965616090344,64.757,3151324113,,,,
1992,158459130434.783,2842.37359829741,2940,153108.251,20.1906606092202,24.5252103969613,33.1049378118716,17.7329261934907,4.11774558875962,55748875,24.728,7.855,,1.64276934038402,65.275,3942391440,,,,
1993,180169736363.636,3180.19201107903,3140,159136.799,23.0741720906945,23.4604105571847,32.0434875903011,16.2577784135613,4.81286500023537,56653729,24.283,7.668,,1.6100579785923,65.815,5664000000,3.36546993255615,,,
1994,130690172297.297,2270.34036224671,2680,156848.591,22.6454644018793,21.6479942175641,36.3570654138056,14.1163715215034,4.50221657644458,57564132,23.9,7.484,,1.59418548548045,66.377,4191000000,3.42482995986938,,,
1995,169485941048.035,2897.87020756225,2850,171974.966,23.1787643261757,21.9141088130681,34.0073771571598,15.7489131866684,4.6996537081989,58486381,23.553,7.301,1216173,1.58942583109328,66.963,3818000000,2.2511100769043,,,
1996,181475555282.555,3053.9508281437,2920,188205.108,21.9922688076122,24.8290217068094,34.1659232827832,14.1778174249182,4.86538277941767,59423208,23.219,7.12,,1.58909334170887,67.57,4766263967,,,,
1997,189834649111.257,3144.38945307295,3190,198535.047,19.4836879432624,25.6851063829787,35.7503546099291,14.4964539007092,4.76741647713841,60372499,22.874,6.943,,1.58488295509059,68.189,4979281351,,,,
1998,275769083237.438,4496.50948648829,3430,200614.236,17.9253815715093,26.5630299604296,38.1514980214811,12.832108535896,5.02814760517035,61329590,22.506,6.773,,1.57287477855354,68.807,7672644252,0,,,
1999,255883476599.809,4108.11465240632,3580,196771.22,18.8355776847346,23.3902908226774,40.6020142582324,12.5212176077854,4.46469875157975,62287326,22.105,6.613,,1.54955356361134,69.417,5937431808.79872,2.8866400718689,,,
2000,272979846449.136,4316.56110286595,4300,216151.315,17.2580003975353,28.7169548797456,37.2291790896442,12.7111906181674,3.85313759225527,63240121,21.672,6.465,1280963,1.5180955579696,70.008,5910953927.2602,2.52907991409302,,,
