year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1984,2581207387.79709,157.898646621681,160,704.064,26.5822784810127,48.1012658227848,1.26582278481013,16.4556962025316,0.650631668444819,16347242,40.794,16.11,,2.30705052238259,49.408,1.14757001399994,60.6145896911621,25.24342918396,3.57594990730286,
1985,2619913955.51556,156.656353049217,160,678.395,38.1818181818182,18.1818181818182,3.63636363636364,29.0909090909091,0.720667326719072,16723956,40.48,15.593,313922,2.27829844422695,50.162,,,26.8126792907715,3.41858005523682,
1986,2850784523.37711,166.701470789842,170,704.064,32.4324324324324,33.7837837837838,1.35135135135135,24.3243243243243,0.88177963028294,17101136,40.141,15.069,,2.2302711509271,50.938,,,28.3490104675293,4.8017201423645,
1987,2957255379.54315,169.170456152919,180,872.746,32,34.6666666666667,1.33333333333333,22.6666666666667,0.894450114853747,17480921,39.775,14.538,,2.19651635759745,51.738,,,29.6723594665527,4.99298000335693,
1988,3487009748.35638,195.092017119732,210,993.757,31.0810810810811,28.3783783783784,2.7027027027027,29.7297297297297,0.880262964263495,17873667,39.381,14.001,,2.22184547461924,52.561,,66.6278381347656,30.5553894042969,5.57833003997803,
1989,3525228153.17361,192.703717458199,210,913.083,43.1034482758621,6.89655172413793,0,36.2068965517241,1.10523473970814,18293514,38.958,13.462,,2.32180584212847,53.403,,,32.1588401794434,5.83757019042969,
1990,3627562402.66027,193.47612413216,210,634.391,38.2022471910112,22.4719101123596,0,28.0898876404494,0.940805621809559,18749406,38.51,12.925,429974,2.46155011205517,54.26,,,33.2694206237793,5.21461009979248,
1991,3921476084.89072,203.765397846674,210,960.754,35.3982300884956,23.0088495575221,2.65486725663717,28.3185840707965,0.988226129076786,19245054,38.043,12.394,,2.60920207407914,55.125,,,35.1675109863281,5.94678020477295,
1992,3401211581.29176,172.006210109622,200,1331.121,38.5964912280702,13.1578947368421,3.50877192982456,33.3333333333333,0.972593432389982,19773772,37.558,11.874,,2.71023204607746,55.992,,,37.7229309082031,5.40803003311157,
1993,3660041666.66667,180.10974595055,190,1466.8,36.9230769230769,14.6153846153846,3.84615384615385,33.8461538461538,0.98896085895155,20321175,37.052,11.37,,2.73070327254775,56.852,,,38.9808311462402,5.16673994064331,
1994,4066775510.20408,194.889067648694,200,1697.821,34.5679012345679,20.3703703703704,4.32098765432099,30.8641975308642,1.07218593568749,20867130,36.52,10.886,,2.65117478226296,57.699,,,39.3140182495117,4.78297996520996,
1995,4401104417.67068,205.693841429967,210,2035.185,35.2272727272727,19.8863636363636,1.70454545454545,32.9545454545455,1.20949324031371,21396384,35.945,10.426,690225,2.50467421235477,58.529,,,41.1850204467773,4.36405992507935,
1996,4521580381.47139,206.433006590964,210,2486.226,34.9726775956284,16.3934426229508,1.63934426229508,36.6120218579235,1.29604739529015,21903379,35.312,9.992,,2.34189813702564,59.341,,,44.3309898376465,4.80183982849121,
1997,4918691916.53516,219.684466028359,220,2783.253,35.2380952380952,13.8095238095238,4.28571428571428,36.6666666666667,1.31830733894333,22389803,34.61,9.582,,2.19647148430903,60.134,7.71571016311646,,,,
1998,4856255044.39064,212.468946506911,210,2251.538,35,14.0909090909091,4.09090909090909,36.8181818181818,1.40079965525754,22856305,33.836,9.197,,2.06213772554916,60.909,,,,,2.89287996292114
1999,5033642384.10596,215.98059212175,220,3219.626,25.5813953488372,34.5514950166113,1.66112956810631,30.5647840531562,1.56964987055004,23305994,32.996,8.838,,1.94835714499466,61.661,10.6046600341797,66.3927688598633,34.5616416931152,,2.89331007003784
2000,5494252207.90502,231.425500390656,230,3069.279,26.7741935483871,36.1290322580645,0.645161290322581,29.3548387096774,1.70270994972073,23740911,32.102,8.507,717900,1.84891817908859,62.386,12.1920795440674,72.6805725097656,36.0630493164063,4.22458982467651,2.9751501083374
2001,6007055042.53993,248.618098020685,240,3267.297,22.3880597014925,37.910447761194,0.298507462686567,33.4328358208955,1.85205182205534,24161777,31.17,8.208,,1.75721591888621,63.082,12.3859596252441,,39.2962188720703,4.53638982772827,3.70837998390198
2002,6050875806.66403,246.307562056412,240,2625.572,29.5880149812734,23.9700374531835,0,38.5767790262172,2.01195802275657,24566342,30.222,7.938,,1.66053730140166,63.745,12.2703199386597,,43.798770904541,5.23128986358643,3.15282988548279
2003,6330473096.54071,253.720041240682,260,2841.925,26.8965517241379,26.551724137931,0,39.6551724137931,2.14448732321218,24950623,29.277,7.698,,1.55214971252955,64.376,17.3325004577637,80.4559020996094,45.014030456543,5.28774976730347,3.11435008049011
2004,7273938314.71988,287.400105577955,280,2669.576,31.1111111111111,24.4444444444444,0.37037037037037,36.2962962962963,2.32378561254247,25309449,28.346,7.486,,1.42790124430349,64.973,17.9091892242432,81.1470031738281,,6.20704984664917,3.17194008827209
2005,8130258041.46706,317.089198005742,310,3083.947,27.3615635179153,33.2247557003257,0.325732899022801,32.2475570032573,2.37297420392001,25640287,27.426,7.3,679457,1.29870211688625,65.537,35.9410018920898,,48.5376892089844,7.82764005661011,3.3646399974823
2006,9043715355.8881,348.631453417498,340,2563.233,35.2,24.8,0.4,31.2,2.59744086699099,25940618,26.505,7.139,,1.16451773766595,66.066,,,45.7338104248047,8.32501029968262,3.60536003112793
2007,10325618017.379,393.884351771306,370,2614.571,35.2713178294574,31.3953488372093,0.387596899224806,25.968992248062,2.71323591802408,26214847,25.574,6.998,,1.0515926840011,66.565,39.7901992797852,,45.4822311401367,10.2247695922852,3.51721000671387
2008,12545438605.3959,473.844440907314,440,3421.311,46.5277777777778,26.0416666666667,0.347222222222222,18.4027777777778,2.59507432156234,26475859,24.637,6.875,,0.990740701038185,67.036,60.2094612121582,,51.7976684570313,11.1953001022339,3.8051700592041
2009,12854985464.0764,480.72009086822,480,4334.394,51.0204081632653,22.1574344023324,0.291545189504373,16.6180758017493,2.8476939826979,26741103,23.711,6.767,,0.996848322353539,67.484,65.7659301757813,,52.7900009155273,11.1570701599121,4.6637601852417
2010,16002656434.4746,592.183521642014,540,5056.793,47.0873786407767,29.8543689320388,0,14.5631067961165,3.00281587651426,27023137,22.83,6.67,578657,1.04916050907034,67.914,71.6185073852539,,58.8267211914063,14.2858295440674,3.63172006607056
2011,18913574370.76,692.116684217348,600,5533.503,44.5454545454545,32.9545454545455,0,15,3.48110922015826,27327147,22.031,6.584,,1.11871787326644,68.329,78.2955017089844,98.2580108642578,61.239631652832,14.3513898849487,3.84261989593506
2012,18851513891.066,681.792586817722,690,5856.199,43.4607645875252,34.8088531187123,0.201207243460765,13.8832997987928,4.30927029054942,27649925,21.34,6.508,,1.17424117757524,68.732,82.8365936279297,99.3889083862305,64.7428131103516,,3.76116991043091
2013,19271168018.482,688.617278796698,720,6637.27,48.7654320987654,27.7777777777778,0.205761316872428,14.8148148148148,5.25574685357306,27985310,20.769,6.441,,1.20567141575732,69.126,84.2041702270508,,65.9864501953125,16.893180847168,3.47464990615845
2014,20002968837.9471,706.238697681072,730,8030.73,44.0134907251265,32.7150084317032,1.85497470489039,13.6593591905565,5.24324797182476,28323241,20.318,6.382,,1.20029747230758,69.511,85.4745407104492,94.1304779052734,66.8816528320313,15.8212404251099,3.99302005767822
2015,21410840908.5198,747.160462355857,740,,,,,,,28656282,19.973,6.329,518278,1.16899817730387,69.887,85.1670684814453,96.5344619750977,67.1409225463867,14.9452600479126,3.70358991622925
2016,21185922407.5922,730.983328253608,730,,,,,,,28982771,19.71,6.283,,1.13288638478586,70.253,84.0602416992188,96.6229476928711,69.4974365234375,11.7999401092529,4.44098997116089
2017,24880266905.4961,849.01104260427,800,,,,,,,29304998,19.49,6.243,,1.10565316918355,70.604,85.9390563964844,94.6956405639648,71.20947265625,11.792929649353,5.09562015533447
2018,,,,,,,,,,,,,,,,,,,,
