year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1972,169965034965.035,3030.43251411977,3150,648486.948,12.6623484471018,24.8878923766816,42.6025577146653,18.141504733433,3.78087101505764,56086065,14.9,12,,0.3390575157182,72.1243902439024,8100000000,5.15937995910645,,,
1973,192537971582.558,3426.27622050378,3840,660034.331,12.8231008216499,24.5217555867464,43.5143276191077,17.4218170922109,3.49792749665854,56194527,13.9,11.9,,0.19319818644469,72.3243902439024,9840000000,5.44860982894897,,,
1974,206131369798.971,3665.8627976419,4290,617607.141,13.2930005881859,23.4669355516343,43.0047895134863,18.4354255944879,4.33811145865691,56229974,13.1,11.9,,0.0630592101531556,72.5243902439024,10387000000,5.39099979400635,,,
1975,241756637168.142,4299.74561799284,4800,603643.205,13.503611612724,23.0934852062787,43.0632726767607,17.9643005973052,4.12750232417543,56225800,12.4,11.8,3147977,-0.00742336272019876,72.7243902439024,14934000000,6.26878023147583,,,
1976,232614555256.065,4138.16778761535,4930,598912.775,13.8546660480781,22.411808168806,43.5830025602694,17.8703369589498,4.79023643205436,56211968,12,12.1,,-0.024603832530328,72.7756097560976,14616000000,6.42422008514404,,,
1977,263066457352.172,4681.43993173038,5140,604746.972,13.9680825938797,21.8985120955498,43.5271095516043,18.2141772664395,5.1828542598546,56193492,11.7,11.7,,-0.0328738482390269,73.2243902439024,15736000000,6.06335020065308,,,
1978,335883029721.956,5976.93816899991,5840,605084.336,14.6845810207121,20.0910383105456,44.5681602815757,17.9775280898876,4.86300397479769,56196504,12.2,11.9,,0.00535990765712166,73.1756097560976,18616000000,,,,
1979,438994070309.191,7804.76208051155,7450,644893.288,14.2084396719154,20.1666104877931,44.7922184234603,18.1409608192485,4.76761045297364,56246951,13.1,12,,0.0897286611918231,73.2756097560976,23150000000,,,,
1980,564947710899.373,10032.062080015,9380,579290.658,15.6342027766092,17.1995512550834,46.024400504838,18.4441172346095,5.03097688279587,56314216,13.4,11.7,3356904,0.119517254129019,73.6756097560976,29500000000,5.07011985778809,,,
1981,540765675241.158,9599.30622221965,10480,560819.979,15.5948408045459,17.8172634617119,45.121313249752,18.7498872553441,5.3371750676773,56333829,13,11.7,,0.0348217320561183,74.0268292682927,29172000000,5.2884202003479,,,
1982,515048916841.37,9146.07735701852,10470,548520.861,16.341837394469,17.6941124309545,44.2870074449022,18.9152241783821,6.1937700572112,56313641,12.8,11.8,,-0.0358427938348334,74.1780487804878,26650000000,5.1887001991272,,,
1983,489618008185.539,8691.51881306514,9690,545741.275,17.0625093801591,16.9330631847516,44.3062434338886,19.2762269248086,7.04357665960204,56332848,12.8,11.7,,0.0341013738761532,74.3780487804878,24941000000,5.06150007247925,,,
1984,461487097632.349,8179.19444064991,9110,529335.117,18.4753119913185,16.6828152856368,43.1846368498566,19.1147973025347,7.57746825201676,56422072,12.9,11.4,,0.158261863204096,74.7780487804878,22560000000,4.89905977249146,,,
